cluster_id,size
4,38
0,6
9,5
1,5
2,4
6,3
8,3
13,3
16,2
15,2
14,2
30,2
7,2
3,2
10,1
11,1
12,1
19,1
5,1
17,1
18,1
40,1
39,1
31,1
38,1
37,1
36,1
35,1
34,1
33,1
32,1
29,1
21,1
28,1
27,1
26,1
25,1
24,1
23,1
22,1
20,1
