cluster_id,size
1,17
6,3
48,2
51,2
21,2
46,2
24,2
37,2
28,2
25,1
26,1
23,1
22,1
27,1
20,1
19,1
18,1
17,1
16,1
65,1
15,1
30,1
14,1
13,1
12,1
11,1
10,1
9,1
8,1
7,1
5,1
4,1
3,1
2,1
29,1
32,1
31,1
64,1
63,1
62,1
61,1
60,1
59,1
58,1
57,1
56,1
55,1
54,1
53,1
52,1
50,1
49,1
47,1
45,1
44,1
43,1
42,1
41,1
40,1
39,1
38,1
36,1
35,1
34,1
33,1
0,1
