cluster_id,size
0,24
1,4
5,3
9,3
6,3
8,3
2,3
4,2
3,2
7,2
39,2
10,2
12,2
13,2
14,2
16,2
18,2
19,2
40,2
34,2
26,2
21,1
30,1
38,1
37,1
36,1
35,1
33,1
32,1
31,1
29,1
22,1
11,1
28,1
27,1
15,1
25,1
17,1
24,1
23,1
20,1
